name,typ,node,maxcap,deratef_2016,deratef_1976,deratef_1977,deratef_1978,deratef_1979,deratef_1980,deratef_1981,deratef_1982,deratef_1983,deratef_1984,deratef_1985,deratef_1986,deratef_1987,deratef_1988,deratef_1989,deratef_1990,deratef_1991,deratef_1992,deratef_1993,deratef_1994,deratef_1995,deratef_1996,deratef_1997,deratef_1998,deratef_1999,deratef_2000,deratef_2001,deratef_2002,deratef_2003,deratef_2004,deratef_2005
Hongsaligniteu2,coal_imp,HongsaLignite,626,1,1,1,1,0.83,1,1,1,1,0.86,0.93,1,0.67,0.67,0.89,1,0.73,0.68,0.67,1,1,0.83,0.75,0.79,0.98,0.9,1,1,0.6,1,1
Hongsaligniteu3,coal_imp,HongsaLignite,626,1,1,1,1,0.83,1,1,1,1,0.86,0.93,1,0.67,0.67,0.89,1,0.73,0.68,0.67,1,1,0.83,0.75,0.79,0.98,0.9,1,1,0.6,1,1
KhonKaenSugarPower1,biomass_st,KhonKaen1,142,0.78,0.77,0.63,1,0.76,1,0.63,1,0.78,0.89,0.71,0.8,1,1,1,1,1,0.61,0.34,1,1,1,0.59,0.58,0.91,1,1,1,0.89,0.85,0.71
NamPhong1Sc1,wsth_st,KhonKaen3,226,1,1,0.87,1,0.45,1,1,1,1,0.84,1,0.98,1,1,0.97,1,0.6,0.54,0.59,0.83,1,1,0.43,0.81,1,1,0.6,0.97,0.96,0.55,0.87
Maemohu4,coal_st,MaeMoh3,150,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu5,coal_st,MaeMoh3,150,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu6,coal_st,MaeMoh3,150,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu7,coal_st,MaeMoh3,150,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu10,coal_st,MaeMoh3,300,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu11,coal_st,MaeMoh3,300,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu12,coal_st,MaeMoh3,300,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu13,coal_st,MaeMoh3,300,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu8,coal_st,MaeMoh3,300,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
Maemohu9,coal_st,MaeMoh3,300,1,1,1,0.96,0.42,1,0.98,0.63,1,0.99,0.94,0.74,0.89,0.99,0.96,1,0.66,0.78,0.48,1,1,0.77,0.82,0.89,1,0.9,1,1,0.77,1,1
BuaYai1,biomass_st,NakhonRatchasima1,151.2,1,1,0.71,1,0.48,1,0.62,0.72,1,0.66,1,0.36,1,1,0.76,0.82,0.91,0.72,0.75,0.7,1,1,0.33,0.82,1,1,0.56,0.97,0.45,0.65,1
Namphong2U1,gas_cc,NamPhong2,710,0.7,0.87,0.39,1,0.74,1,0.99,0.69,0.7,0.87,0.83,0.99,1,1,1,1,0.91,0.73,0.36,1,1,1,0.7,0.6,1,1,1,1,0.76,0.92,0.87
PrachinBuriMill2,biomass_st,PrachinBuri1,74.5,1,1,0.8,0.97,0.55,1,1,1,1,0.88,1,1,0.97,1,1,1,0.87,0.61,0.92,0.93,1,0.91,0.6,0.84,1,1,0.65,0.88,1,0.67,0.8
PrachinBuriIpc1,coal_st,PrachinBuri2,37,1,1,0.68,1,0.66,1,1,1,1,0.86,1,1,0.6,1,1,1,0.65,0.42,0.72,0.99,1,0.73,0.65,0.54,1,1,0.59,0.81,1,0.6,0.55
ThaTum1,coal_st,PrachinBuri2,328,1,1,0.68,1,0.66,1,1,1,1,0.86,1,1,0.6,1,1,1,0.65,0.42,0.72,0.99,1,0.73,0.65,0.54,1,1,0.59,0.81,1,0.6,0.55
NongSaeng2Sc0,wsth_st,Saraburi2,651,0.95,0.79,1,1,0.52,1,1,0.61,0.95,0.7,1,0.72,0.96,1,0.82,0.9,0.71,0.9,0.46,1,0.93,1,0.59,0.6,1,1,1,1,0.6,0.97,1
NongSaeng2Sc1,wsth_st,Saraburi2,651,0.95,0.79,1,1,0.52,1,1,0.61,0.95,0.7,1,0.72,0.96,1,0.82,0.9,0.71,0.9,0.46,1,0.93,1,0.59,0.6,1,1,1,1,0.6,0.97,1
Uwckomen,biomass_st,UWCKomen,9.9,1,1,0.73,1,0.52,1,0.55,0.7,1,0.61,1,0.36,1,1,0.76,0.85,0.97,0.7,0.79,0.67,1,1,0.36,0.82,1,1,0.58,1,0.49,0.67,1
Baanrai,biomass_st,BaanRai,9.9,0.98,0.99,0.58,1,0.7,1,1,0.72,0.98,0.84,1,1,1,1,0.84,0.94,0.91,0.86,0.72,1,1,1,0.85,0.93,1,1,0.86,1,0.74,0.72,0.78
